Alarm Number:   Batch Id:            Time and Date:                           Stop Reason:                            
1               1                    11-24-2018 12:09:32                      Manual abort                            
2               1                    11-24-2018 12:09:37                      Manual stop                             
3               1                    11-24-2018 12:09:37                      Manual abort                            
4               1                    11-24-2018 12:09:38                      Manual stop                             
5               1                    11-24-2018 12:09:39                      Manual abort                            
6               1                    11-24-2018 12:09:40                      Manual stop                             
7               1                    11-24-2018 12:09:40                      Manual abort                            
8               1                    11-24-2018 12:09:41                      Manual stop                             
9               1                    11-24-2018 12:09:43                      Manual abort                            
10              1                    11-24-2018 12:09:44                      Manual stop                             
11              1                    11-24-2018 12:09:45                      Manual abort                            
12              1                    11-24-2018 12:09:46                      Manual stop                             
13              1                    11-24-2018 12:09:46                      Manual abort                            
14              1                    11-24-2018 12:09:47                      Manual stop                             
15              1                    11-24-2018 12:09:48                      Manual abort                            
16              1                    11-24-2018 12:09:48                      Manual stop                             
17              1                    11-24-2018 12:09:49                      Manual abort                            
18              1                    11-24-2018 12:09:49                      Manual stop                             
19              1                    11-24-2018 12:09:50                      Manual abort                            
20              1                    11-24-2018 12:09:51                      Manual stop                             
21              1                    11-24-2018 12:09:52                      Manual abort                            
22              1                    11-24-2018 12:09:52                      Manual stop                             
23              1                    11-24-2018 12:09:53                      Manual abort                            
24              1                    11-24-2018 12:09:53                      Manual stop                             
25              1                    11-24-2018 12:09:54                      Manual abort                            
26              1                    11-24-2018 12:09:55                      Manual stop                             
27              1                    11-24-2018 12:09:56                      Manual abort                            
28              1                    11-24-2018 12:10:01                      Manual abort                            
